school_name,abbreviation,contact_person,contact_email,address,created_at,updated_at
"Polytechnic University of the Philippines - Lopez","PUP - Lopez",n/a,inquire@pup.edu.ph,"4316, Lopez, 4316 Quezon","2024-03-22 09:56:22","2024-03-22 09:56:22"
"San Pablo Colleges",SPC,"Chelsea Lim",sanpablocolleges.edu.ph,"3a Hermanos Belen Street, San Pablo City, 4000 Laguna","2024-03-22 09:21:34","2024-03-22 10:26:31"
"Servite Catholic School Laurel Batangas",SCSLB,"Mr. Joshua Magsino",servitecatholicschool99@gmail.com,"Laurel Batangas","2025-02-04 14:09:02","2025-02-04 14:09:02"
"Southern Luzon State University",SLSU,,slsuregistrar@slsu.edu,"Lucban - Tayabas Rd, Lucban, 4328 Quezon","2024-07-02 12:18:58","2024-07-02 12:18:58"
"St. Nicolas Golden Field Academy Inc",SNGFAI,N/A," sngfai.spc@gmail.com","Maharlika Highway, Brgy. San Nicolas, San Pablo City, Philippines, 4000","2026-02-09 13:22:52","2026-02-09 13:22:52"
"St. Therese Montessori School of San Pablo, Inc.",STMS,"Lara Jane Yedra",st.theresemontessori_spc@yahoo.com,"Brgy. San Nicolas, San Pablo City","2024-04-02 12:23:29","2024-04-02 12:24:27"
"STI College San Pablo","STI SPC","Angelou Almare-Medina",sti.edu,"4000 Lopez Jaena St, San Pablo City, Laguna","2024-03-22 09:28:19","2024-03-22 10:19:51"
"Technological Institute of the Philippines - Manila","TIP - Manila",n/a,info@tip.edu.ph,"363 Casal St, Quiapo, Manila, 1001 Metro Manila","2024-03-22 10:07:27","2024-03-22 10:09:40"
"Teodoro Luansing College of Rosario",TLCR,n/a," www.facebook.com/TMLCR2004Official","R6V2+R3X, Ibaan Road, Rosario, Batangas","2024-03-22 10:10:58","2024-03-22 10:10:58"
"University of Batangas",UB,"Reydexter Abutar",admin@ub.edu.ph,"Kumintang Ibaba, Batangas City, Philippines","2025-01-28 08:58:14","2025-01-28 08:58:14"
"University of Batangas - Lipa","UB - Lipa","Jennifer Pasahol"," jennifer.pasahol@ub.edu.ph","Leviste Hwy, Lipa, Batangas","2024-03-22 10:15:16","2024-03-22 10:15:16"
